,F
1996,1
1997,1
1998,1
1999,1
2000,1
2001,5
2002,1
2003,3
2004,3
2005,1
2006,1
2007,1
2008,2
2009,1
2010,1
2011,1
2012,1
2013,3
2014,1
2015,1
2016,1
2017,1
2018,1
2019,1
2020,2
2021,1
2022,1
2023,1
2024,1
2025,1
2026,1
2027,1
2028,1
2029,1
2030,1
2031,1
2032,1
2033,1
2034,1
2035,3
2036,1
2037,1
2038,1
2039,1
2040,1
2041,1
2042,1
2043,1
2044,1
2045,1
2046,1
2047,1
2048,2
2049,1
2050,1
2051,3
2052,2
2053,1
2054,1
2055,1
2056,1
2057,1
2058,1
2059,1
2060,1
2061,1
2062,2
2063,1
2064,1
2065,1
2066,1
2067,2
2068,1
2069,1
2070,2
2071,1
2072,2
2073,1
2074,1
2075,1
2076,1
2077,1
2078,1
2079,1
2080,1
2081,1
2082,1
2083,1
2084,1
2085,4
2086,1
2087,3
2088,1
2089,3
2090,2
2091,1
2092,1
2093,1
2094,2
2095,1
2096,1
2097,1
2098,1
2099,1
2100,1
2101,1
2102,1
2103,2
2104,1
2105,1
2106,1
2107,1
2108,1
2109,1
2110,3
2111,1
2112,1
2113,1
2114,1
2115,1
2116,1
2117,1
2118,2
2119,1
2120,1
2121,1
2122,1
2123,2
2124,2
2125,1
2126,1
2127,1
2128,2
2129,1
2130,1
2131,2
2132,1
2133,3
2134,1
2135,1
2136,1
2137,1
2138,1
2139,1
2140,1
2141,1
2142,3
2143,1
2144,3
2145,1
2146,1
2147,1
2148,4
2149,1
2150,1
2151,2
2152,2
2153,1
2154,1
2155,2
2156,1
2157,1
2158,1
2159,2
2160,2
2161,2
2162,1
2163,4
2164,2
2165,1
2166,1
2167,3
2168,1
2169,1
2170,1
2171,1
2172,2
2173,1
2174,1
2175,1
2176,4
2177,4
2178,1
2179,1
2180,1
2181,1
2182,2
2183,1
2184,1
2185,3
2186,1
2187,1
2188,1
2189,3
2190,2
2191,3
2192,1
2193,4
2194,1
2195,1
2196,1
2197,1
2198,1
2199,1
2200,1
2201,1
2202,1
2203,1
2204,1
2205,1
2206,2
2207,1
2208,1
2209,1
2210,1
2211,1
2212,1
2213,2
2214,1
2215,1
2216,1
2217,1
2218,2
2219,1
2220,2
2221,2
2222,1
2223,1
2224,1
2225,1
2226,1
2227,1
2228,1
2229,3
2230,1
2231,1
2232,1
2233,1
2234,1
2235,1
2236,1
2237,1
2238,1
2239,1
2240,1
2241,1
2242,2
2243,1
2244,3
2245,1
2246,2
2247,10
2248,3
2249,1
2250,1
2251,1
2252,1
2253,3
2254,1
2255,1
2256,1
2257,1
2258,1
2259,3
2260,1
2261,1
2262,1
2263,1
2264,1
2265,1
2266,1
2267,1
2268,1
2269,1
2270,3
2271,2
2272,1
2273,1
2274,1
2275,1
2276,1
2277,1
2278,1
2279,1
2280,1
2281,2
2282,1
2283,1
2284,2
2285,1
2286,2
2287,1
2288,2
2289,1
2290,1
2291,1
2292,2
2293,2
2294,1
2295,1
2296,1
2297,3
2298,1
2299,1
2300,1
2301,2
2302,1
2303,1
2304,1
2305,2
2306,1
2307,2
2308,1
2309,1
2310,1
2311,2
2312,1
2313,1
2314,8
2315,1
2316,1
2317,2
2318,1
2319,2
2320,3
2321,1
2322,1
2323,1
2324,1
2325,1
2326,1
2327,1
2328,1
2329,1
2330,1
2331,1
2332,1
2333,1
2334,1
2335,1
2336,1
2337,1
2338,2
2339,2
2340,2
2341,1
2342,1
2343,2
2344,1
2345,4
2346,1
2347,1
2348,1
2349,1
2350,1
2351,1
2352,1
2353,1
2354,1
2355,1
2356,2
2357,4
2358,1
2359,1
2360,1
2361,1
