,F,T,S,E
9525,2,1,619,619
9526,1,1,624,624
9527,1,1,655,655
9528,1,1,669,669
9529,1,1,670,670
9530,1,1,681,709_681
9531,1,1,689,689
9532,1,1,696,697_696
9533,1,1,700,
9534,1,1,727,727
9535,1,1,734,
9536,1,1,802,802
9537,1,1,824,824
9538,1,1,825,825
9539,1,1,832,832
9540,1,1,835,835
9541,1,1,843,843
9542,1,1,857,857
9543,1,1,860,860
9544,4,4,883,883
9545,1,1,905,906_905
9546,1,1,908,908
9547,1,1,912,912
9548,1,1,932,932
9549,2,2,961,962_961
9550,1,1,972,973_972
9551,1,1,992,1024_992
9552,7,5,995,995_995_988_995
9553,2,1,1001,1031_1001
9554,1,1,1005,1005
9555,1,1,1011,1011
9556,2,1,1013,1014_1013
9557,10,4,1019,1021_1021_1050_1019_1021_1050_1019_1021_1020_1019
9558,1,1,1023,1023
9559,2,2,1028,998_1028
9560,1,1,1037,1038_1037
9561,5,4,1054,300_300_1051_1054
9562,1,1,1059,1059
9563,1,1,1060,1060
9564,2,2,1089,1090_1090_1089
9565,3,3,1095,1110_1110_1095
9566,1,1,1099,1100
9567,2,2,1119,1338_1338_1119
9568,31,10,1171,1187_1187_1243_1159_1159_1171_1187_1169_1187_1160_1159_1243_1159_1159_1158_1169_1171
9569,1,1,1173,1173
9570,1,1,1176,1176
9571,1,1,1208,1208
9572,1,1,1233,1233
9573,1,1,1248,1249
9574,1,1,1257,1257
9575,18,15,1285,1286_1286_1286_1286_1286_1286_1286_1286_1286_1286_1286_1285
9576,6,3,1318,1320_1319_1319_1318
9577,3,2,1328,1329_1328
9578,1,1,1346,1346
9579,2,2,1351,1307_1351
9580,1,1,28,333_28
9581,1,1,34,160_34
9582,1,1,88,88
9583,1,1,108,108
9584,17,7,123,12_72_12_95_95_123
9585,1,1,140,140
9586,1,1,155,155
9587,1,1,159,159
9588,1,1,178,178
9589,1,1,179,179
9590,1,1,221,221
9591,2,2,225,224_225
9592,1,1,264,304_264
9593,1,1,281,422_281
9594,1,1,282,283_282
9595,7,5,288,289_287_289_287_289_289_289_288
9596,161,33,299,1050_298_1018_1018_1050_1056_1050_1051_301_1054_300_1050_1051_300_301_301_300_1019_1021_1021_1020_1019_1021_1019_1050_1021_1019_1050_1019_1021_1019_1021_1019_1019_1021_1020_1050_298_298_300_1018_301_1051_1054_300_1050_1050_1054_300_301_1051_1054_300_1051_1054_300_1051_300_1050_299_1018_298_298_300_300_1018_297_298_1018
9597,1,1,305,306_305
9598,1,1,310,
9599,3,2,331,394_394
9600,2,2,348,737_737_348
9601,4,4,364,364
9602,1,1,388,388
9603,1,1,398,399_398
9604,2,2,430,431_431_430
9605,2,2,438,
9606,108,30,465,506_713_1370_1370_713_465_678_465_465_465_506_503_503_503_713_465_465_506_678_506_713_505_713_713_1370_713_465_465_505_503_503_503_713_505_503_506_1370_1370_465_678_465_506_465_465_505_713_1370_1370_506_503_503_503_503_503_503_503_503_505_504_503_503_504_504_713_505_465
9607,1,1,467,467
9608,3,2,469,468_469
9609,9,7,471,470_472_472_470_472_470_1352_470_471
9610,1,1,480,480
9611,1,1,497,497
9612,2,2,572,711_711_572
9613,5,2,579,580
9614,1,1,606,742_606
9615,2,2,611,641_641_611
9616,2,1,621,723_724_621
9617,2,2,626,625_626
9618,1,1,628,628
9619,1,1,630,630
9620,1,1,636,636
9621,1,1,637,637
9622,3,2,643,645_644_715_643
9623,1,1,649,649
9624,1,1,661,662_661
9625,2,1,672,673_672
9626,1,1,676,676
9627,12,8,679,1254_1254_1254_1255_1255_1255_1255_679
9628,2,2,684,602_684
9629,2,2,688,689_688
9630,1,1,709,709
9631,1,1,713,713
9632,1,1,719,719
9633,1,1,721,721
9634,1,1,730,730
9635,2,2,732,732
9636,1,1,733,
9637,12,4,743,560_558_558_559_560_743
9638,1,1,780,780
9639,3,3,793,793
9640,2,1,814,974_814
9641,1,1,831,1299_831
9642,1,1,847,847
9643,1,1,849,849
9644,1,1,852,852
9645,8,3,854,855_855_860_854
9646,1,1,877,877
9647,1,1,911,1386_911
9648,1,1,924,924
9649,3,2,947,950_946_947
9650,1,1,949,949
9651,1,1,977,978_977
9652,2,2,980,980
9653,1,1,1016,1016
9654,1,1,1027,1027
9655,1,1,1034,1034
9656,1,1,1044,1047_1044
9657,3,2,1048,1000_1048
9658,3,3,1055,292_292_1055
9659,1,1,1072,1073_1072
9660,1,1,1083,1083
9661,1,1,1096,1096
9662,1,1,1124,1125_1124
9663,1,1,1129,1130_1129
9664,1,1,1153,1153
9665,1,1,1154,1154
9666,1,1,1164,1164
9667,1,1,1181,1181
9668,11,11,1212,1258_1258_1258_1258_1258_1258_1258_1258_1258_1258_1258_1212
9669,1,1,1215,1218_1215
9670,4,2,1216,1222_1217_1216
9671,1,1,1217,
9672,1,1,1229,1230_1229
9673,1,1,1243,1243
9674,1,1,1251,1251
9675,3,2,1264,
9676,1,1,1291,1291
9677,9,5,1298,885_909_909_909_1298
9678,1,1,1310,1310
9679,1,1,1311,1311
9680,1,1,1312,
9681,1,1,1317,1317
9682,1,1,1332,1332
9683,1,1,1336,1336
9684,1,1,1349,1350_1349
9685,1,1,1372,1375_1372
9686,1,1,1384,1385_1384
9687,1,1,1387,1387
9688,1,1,2,2
9689,11,9,66,65_65_65_65_66
9690,8,7,98,33_33_33_33_33_33_98
9691,2,2,99,99
9692,1,1,102,102
9693,1,1,113,113
9694,1,1,130,130
9695,2,1,132,417_399_132
9696,1,1,144,144
9697,1,1,151,151
9698,1,1,153,156_153
9699,1,1,161,161
9700,13,10,173,174_227_174_227_227_227_174_227_227_227_227_173
9701,8,8,183,240_183
9702,2,2,192,193_192
9703,2,2,201,246_246_201
9704,1,1,215,216_215
9705,5,4,222,223_1384_223_223_222
9706,1,1,242,242
9707,1,1,272,273_272
9708,1,1,322,323_322
9709,13,5,341,316_454_432_433_431_432_433_315_315_316_316_341
9710,1,1,383,383
9711,1,1,400,401_400
9712,2,1,406,406
9713,1,1,410,410
9714,1,1,414,414
9715,2,1,446,446
9716,1,1,454,454
9717,2,2,466,466
9718,2,2,493,726_494_493
9719,2,2,495,495
9720,1,1,498,498
9721,2,2,507,507
9722,2,1,513,729_513
9723,5,3,581,634_635_634_581
9724,3,2,583,647_347_584
9725,2,2,590,683_590
9726,8,5,618,736_620_619_735_735_736_618
9727,1,1,627,627
9728,1,1,645,645
9729,1,1,662,662
9730,1,1,670,670
9731,1,1,671,671
9732,1,1,691,692_691
9733,1,1,696,697_696
9734,2,2,707,706_707
9735,1,1,710,710
9736,1,1,716,716
9737,1,1,722,722
