,F,T,S,E
807,3,3,442,442
808,1,1,488,488
809,1,1,495,640_495
810,2,1,518,520_519_518
811,2,2,525,525
812,1,1,530,530
813,3,2,581,
814,1,1,588,588
815,1,1,639,639
816,1,1,652,652
817,1,1,656,656
818,1,1,657,658_657
819,1,1,667,667
820,6,4,671,752_671
821,1,1,684,
822,1,1,690,690
823,1,1,721,
824,2,2,722,722
825,3,2,727,640_727
826,1,1,763,
827,8,6,767,768_768_768_768_767
828,1,1,780,780
829,2,1,784,785_784
830,1,1,796,
831,5,3,809,809_810
832,19,8,815,816_816_817_818_817_815_817_816
833,2,2,876,876
834,1,1,888,888
835,1,1,900,900
836,2,1,901,902_901
837,2,2,905,906_906_905
838,7,4,923,924_960_924_924_923
839,1,1,966,966
840,3,2,971,806_971
841,2,2,979,978_979
842,3,3,981,981
843,1,1,986,986
844,1,1,1005,1005
845,1,1,1022,1023_1022
846,2,2,1027,1027
847,1,1,1037,1037
848,2,1,1041,1044_1041
849,1,1,1047,1047
850,9,4,1061,1082_1066_1081_1081_1062_1061
851,1,1,1070,1070
852,1,1,1101,1101
853,2,1,1119,1338_1119
854,1,1,1133,1133
855,6,5,1173,1173
856,2,2,1188,1188
857,1,1,1217,
858,4,3,1231,1231
859,4,3,1248,1251_1250_1251_1248
860,1,1,1270,1270
861,2,2,1312,
862,1,1,1326,1327_1326
863,1,1,1345,1345
864,1,1,1354,1354
865,2,2,1387,1387
866,1,1,1390,1390
867,6,5,8,170_170_170_170_8
868,5,5,13,13
869,1,1,37,
870,1,1,70,
871,2,1,97,
872,1,1,117,117
873,6,4,165,148_164_164_165
874,1,1,172,172
875,1,1,179,179
876,1,1,185,185
877,1,1,194,194
878,2,2,208,208
879,2,2,235,235
880,1,1,303,303
881,5,3,335,338
882,3,3,409,410_410_410_409
883,1,1,418,419_418
884,1,1,444,444
885,3,3,466,
886,1,1,474,474
887,1,1,475,475
888,1,1,514,515_514
889,12,6,522,523_523_709_523_522
890,3,2,563,356_492_563
891,2,2,596,589_596
892,1,1,601,601
893,1,1,615,615
894,1,1,660,660
895,8,6,661,661_661
896,1,1,692,
897,1,1,715,715
898,1,1,740,741_740
899,1,1,743,743
900,1,1,755,755
901,11,6,807,814_814_814_807_808_807
902,1,1,833,833
903,1,1,857,857
904,2,2,899,898_899
905,1,1,926,
906,1,1,929,929
907,1,1,943,943
908,1,1,968,968
909,5,4,1000,1048_293_999_999_1000
910,2,1,1001,1030
911,2,2,1010,1011_1011_1010
912,1,1,1015,1015
913,2,2,1029,
914,1,1,1044,1044
915,3,3,1076,1060_1060_1076
916,1,1,1079,1079
917,1,1,1099,1099
918,1,1,1102,1103_1102
919,3,2,1114,1118_1114
920,1,1,1126,1126
921,1,1,1128,1128
922,1,1,1129,1130_1129
923,1,1,1131,1132_1131
924,4,4,1148,1148
925,2,2,1160,1160
926,3,3,1162,1161_1161_1162
927,11,5,1197,1198_1197_1198
928,1,1,1199,
929,1,1,1228,
930,1,1,1253,1253
931,1,1,1263,
932,1,1,1278,
933,5,3,1327,1326_1327
934,4,4,1334,1333
935,3,3,1351,1351
936,1,1,1352,1353_1352
937,8,3,1364,1365_1363_1363_1364
938,1,1,1366,1366
939,1,1,1373,1373
940,1,1,1377,
941,1,1,1384,1384
942,1,1,42,380_42
943,1,1,49,49
944,3,3,60,60
945,4,4,69,69
946,9,3,91,3_92_92_91
947,1,1,98,119_98
948,3,3,128,128
949,3,2,149,148_149
950,1,1,247,247
951,1,1,288,288
952,1,1,311,311
953,1,1,355,355
954,5,4,384,438_403_403
955,8,4,391,438_392_391
956,1,1,479,
957,2,2,480,480
958,1,1,488,488
959,2,2,501,502_501
960,4,2,517,518_516_517
961,2,1,526,531
962,1,1,588,588
963,1,1,636,636
964,1,1,667,667
965,5,3,676,676
966,1,1,697,
967,1,1,699,
968,1,1,718,
969,4,3,732,287_287_732
970,1,1,744,744
971,1,1,758,758
972,1,1,772,1389
973,1,1,784,784
974,1,1,804,
975,1,1,824,824
976,1,1,847,847
977,1,1,873,873
978,7,4,883,884_1133_884
979,1,1,903,903
980,1,1,928,928
981,1,1,940,940
982,1,1,950,950
983,1,1,974,974
984,1,1,976,
985,1,1,978,978
986,1,1,990,991_990
987,6,5,992,1024_991_1024_1024_992
988,6,4,1014,1033_1033_639_1014
989,1,1,1028,1028
990,7,4,1037,1038_1027_1043_1028_1027_1037
991,1,1,1065,1065
992,1,1,1070,1070
993,1,1,1087,1087
994,3,2,1090,1109
995,8,6,1097,1097_1097_1126_1097
996,1,1,1098,1098
997,1,1,1109,1261
998,1,1,1117,1117
999,1,1,1121,1121
1000,1,1,1123,1123
1001,1,1,1125,1125
1002,1,1,1133,
1003,6,4,1134,1220_1220_1220_1219_1220_1134
1004,1,1,1201,1201
1005,2,2,1218,1219_1219_1218
1006,1,1,1224,1224
1007,3,3,1254,1254
1008,1,1,1262,1337_1262
1009,1,1,1274,1275_1274
1010,1,1,1279,
1011,4,2,1299,1299
1012,2,1,1309,
1013,1,1,1353,1353
1014,1,1,1388,1388
1015,1,1,1392,1393_1392
1016,2,2,9,9
1017,8,8,11,11
1018,4,2,119,98_119
1019,1,1,138,138
1020,3,3,145,110_110_145
1021,4,4,150,150
1022,1,1,161,161
1023,4,4,185,185
1024,2,2,194,194
1025,2,2,198,198
1026,1,1,261,261
1027,2,2,263,263
1028,12,12,267,267
1029,1,1,294,294
1030,1,1,310,310
1031,3,2,399,132_399
1032,1,1,415,415
1033,1,1,420,421_420
1034,6,3,422,440_423_281_422
1035,1,1,428,
1036,1,1,434,434
1037,1,1,452,452
1038,1,1,483,483
1039,1,1,491,491
1040,1,1,495,495
1041,5,3,508,509_508
1042,1,1,519,519
1043,1,1,521,521
1044,1,1,525,
1045,1,1,547,547
1046,2,2,561,561
1047,1,1,615,616_615
1048,1,1,625,626_625
1049,1,1,630,
1050,1,1,639,639
1051,2,2,640,640
1052,1,1,643,643
1053,3,3,668,1300_1300_669_668
1054,1,1,681,681
1055,1,1,687,
1056,17,11,688,689_689_688_688_688_689_688
1057,1,1,698,
1058,1,1,700,
1059,2,2,701,701
1060,1,1,776,776
