,S,N
958,376,15
959,375,2
960,374,22
961,373,3
962,372,4
963,371,6
964,370,4
965,369,3
966,368,2
967,367,38
968,366,1
969,365,6
970,364,14
971,363,4
972,362,9
973,361,14
974,360,20
975,359,13
976,358,21
977,357,8
978,356,27
979,355,28
980,354,5
981,353,16
982,352,2
983,351,7
984,350,6
985,349,4
986,348,7
987,347,4
988,346,14
989,345,9
990,344,2
991,343,1
992,342,4
993,341,8
994,340,15
995,339,9
996,338,22
997,337,1
998,336,3
999,335,24
1000,334,1
1001,333,6
1002,332,4
1003,331,3
1004,330,3
1005,329,4
1006,328,3
1007,327,5
1008,326,5
1009,324,3
1010,323,4
1011,322,3
1012,321,16
1013,320,5
1014,318,1
1015,317,2
1016,316,5
1017,312,3
1018,311,23
1019,310,19
1020,309,3
1021,308,23
1022,307,7
1023,306,5
1024,305,34
1025,303,12
1026,302,20
1027,301,6
1028,300,1
1029,299,3
1030,298,7
1031,297,13
1032,296,4
1033,295,12
1034,294,16
1035,293,21
1036,292,23
1037,291,8
1038,290,10
1039,289,19
1040,288,24
1041,287,11
1042,286,2
1043,285,3
1044,284,5
1045,283,20
1046,282,16
1047,281,29
1048,280,7
1049,279,11
1050,278,28
1051,277,15
1052,276,29
1053,275,9
1054,274,9
1055,273,18
1056,272,24
1057,270,1
1058,269,2
1059,268,1
1060,267,25
1061,266,20
1062,265,17
1063,264,3
1064,263,22
1065,262,25
1066,261,36
1067,258,1
1068,257,11
1069,256,7
1070,255,4
1071,254,1
1072,253,1
1073,252,5
1074,251,4
1075,250,16
1076,249,15
1077,248,10
1078,247,18
1079,246,2
1080,244,1
1081,243,1
1082,242,7
1083,241,5
1084,240,2
1085,239,27
1086,238,8
1087,237,4
1088,236,4
1089,235,28
1090,234,6
1091,233,6
1092,231,3
1093,229,11
1094,228,10
1095,227,4
1096,226,3
1097,225,11
1098,224,5
1099,223,11
1100,222,20
1101,221,11
1102,220,23
1103,219,5
1104,218,6
1105,217,6
1106,216,9
1107,215,9
1108,214,6
1109,213,1
1110,212,7
1111,211,9
1112,210,3
1113,209,5
1114,208,18
1115,206,7
1116,205,5
1117,204,7
1118,203,1
1119,202,4
1120,201,6
1121,200,4
1122,199,6
1123,198,11
1124,197,3
1125,196,1
1126,195,7
1127,194,18
1128,193,1
1129,192,2
1130,191,6
1131,190,5
1132,189,9
1133,188,1
1134,187,3
1135,186,12
1136,185,13
1137,184,4
1138,183,6
1139,181,3
1140,179,21
1141,178,5
1142,177,2
1143,176,3
1144,174,6
1145,173,16
1146,172,24
1147,170,8
1148,169,28
1149,168,3
1150,166,4
1151,165,7
1152,164,5
1153,163,21
1154,162,17
1155,161,25
1156,160,11
1157,159,15
1158,158,5
1159,157,8
1160,156,7
1161,155,7
1162,154,24
1163,153,6
1164,150,34
1165,149,22
1166,148,14
1167,147,5
1168,146,18
1169,145,9
1170,144,9
1171,143,1
1172,142,10
1173,141,13
1174,140,21
1175,139,14
1176,138,10
1177,137,4
1178,135,15
1179,134,2
1180,133,15
1181,132,24
1182,131,28
1183,130,31
1184,129,11
1185,128,22
1186,127,9
1187,125,12
1188,124,11
1189,123,6
1190,122,5
1191,121,3
1192,120,1
1193,119,10
1194,118,3
1195,117,10
1196,116,24
1197,114,4
1198,113,10
1199,112,13
1200,111,4
1201,110,22
1202,109,1
1203,108,19
1204,106,5
1205,103,7
1206,102,6
1207,101,5
1208,100,6
1209,99,1
1210,98,21
1211,97,4
1212,96,6
1213,95,1
1214,94,10
1215,93,15
1216,92,3
1217,91,8
1218,90,15
1219,89,11
1220,87,2
1221,86,31
1222,85,10
1223,84,22
1224,83,10
1225,82,9
1226,81,28
1227,79,4
1228,77,4
1229,76,4
1230,75,9
1231,73,2
1232,72,2
1233,71,2
1234,70,11
1235,69,30
1236,68,36
1237,67,2
1238,66,22
1239,65,7
1240,64,4
1241,63,4
1242,60,16
1243,59,8
1244,58,8
1245,57,4
1246,56,5
1247,55,3
1248,54,6
1249,53,1
1250,51,3
1251,50,3
1252,49,17
1253,48,1
1254,47,3
1255,44,3
1256,43,6
1257,42,9
