,E,N
481,876,11
482,875_875_1266_976_976_1311_976,1
483,875_1266_975,2
484,875_1266,1
485,875,7
486,874_858_858_857,1
487,874_858,2
488,874,9
489,873,6
490,872_872_872_872_872_872_872_872_872_872_872_846,1
491,872_872_872_846,1
492,872_872_846,3
493,872_847_846,1
494,872_846,6
495,872_176_175,1
496,872_176,1
497,872,2
498,871_875,1
499,871_870_859,1
500,871,12
501,870_871_854_859,1
502,870_870_875_870_859,1
503,870_870_859,1
504,870_870_858_870_871_871_870_858_870_858_858_858_1266_1266_858_1311_1266_858_858_858_858_853_855_854_855_854_870_854_853_870_858_870_870_858_870_858_870_854_854_855_952_860_860_855_870_1266_871_858_854_860_870_871_1266_1311_975_1266_875_871_871_870_870_870_1266_875_875_870_859_854_855_854_856_856_952_952_860_860_854_860_856_855_905_855_856_855_853_860_870_871_870_858_871_875_875_858_860_855_856_856_855_855_952_952_860_860_855_855_860_855_905_905_856_855_853_859_871_871_871_858_1311_1311_1266_875_875_871_858_859_874_857,1
505,870_859,4
506,870,3
507,87,5
508,86_87_88,1
509,869_869_869_869_869_869_869_869_869_869_1360_869,1
510,869_869_1360,1
511,869_1360_1360_869_869,1
512,869_1360,2
513,869,2
514,868_869_868_869_868_868_868_868_868_868_867_869_868_1360_1360_868_868_868,1
515,868_868_867,1
516,868_867_866,1
517,868_867,5
518,868_866_866_867,1
519,868_866_782_866_782_781_781_866_866_782_782_781_782_873_873_782_867,1
520,868_782_868_868_866_868_868_867,1
521,868,6
522,867_868,1
523,867_866,2
524,867,2
525,866_781_780_781_782_873_868_867,1
526,866,7
527,862_865_864_862_862_865_862_862_862_862_865_865_862_862_862_862_862_862_862_862_862_862_930_862_862_930_930_862_862_864_862_862_930_930_862_864_865_865_930_862_930_862_930_862_865_865_865_930_930_862_865_865_862_865_862_862_862_864_865_930_862_930_862_865_862_930_862_862_865_930_862_862_865_866_867_867_867_866_862_862_865_930_862_862_862_862_862_865_865_862_930_862_862_930_930_862_862_862_865_862_930_862_862_930_862_862_865_865_930_930_862_862_930_930_862_862_862_862_862_866_865_930_862_862_930_865_866_866_862_930_930_930_862_865_865_862_862_866_930_862_866_865_862_930_862_862_930_862_862_865_862_862_867_782_782_781_782_781_782_782_867_868_868_867_866_866_862_862_781_781_781_782_781_780_781_782_873_782_781_781_781_780_781_781_782_782_782_782_781_782_781_782_782_781_873_781_868_1360_869_868_868_869_868_869_868_869_868_868_869_869_1360_868_868_867_866_930_862_862_930_862_865_866_866_865_930_862_865_862_865_862_862_864_930_862_865_862_865_862_930_862_862_867_866_866_930_866_862_866_862_930_862_862_862_862_930_862_862_862_867_867_867_866_866_865_865_930_862_865_862,1
528,862,1
529,861_861_801,1
530,861_860,1
531,861_803_804_803_802_803_801,1
532,861_801,5
533,861,9
534,860_905_856_855_855_870_870_856_859_870_858_859_853_853_854,1
535,860_860_952,1
536,860_858_859_859_853_854,1
537,860_854_854_860_952,1
538,860_854,2
539,860,7
540,86,9
541,85_85_25,1
542,85_25,5
543,859_859_854_853,1
544,859,2
545,858_874,1
546,858_858_874,2
547,858_858_858_858_858_858_857,1
548,858_857,4
549,858_257_857,1
550,858,5
551,857_1311_1311_1266_975,1
552,857,9
553,856_906_905_856_855,1
554,856_905_905_856_905_854_855,1
555,856_905_856_855,1
556,856_905_854_854_855_856_855,1
557,856_856_856,1
558,856_856,1
559,856_855_854,1
