,E,N
410,69_69_69_69_69_69_144_144_97_56_56_56_236_238_238_206_237_236_236_167_167_167_56_236_105_105_169_101_101_101_101_122_122_119_167_167_167_167_167_167_167_167_167_66_66_96_12_79_96_96_96_118_95_95_123_143_123_78_95_144_144_144_144_113_113_72_73_114_113_113_73_11_11_79_78_78_80_80_12_79_12_96_144_79_79_116_68_68_68_142_170_170_170_170_170_170_170_170_170_170_68_116_11_10_10_116_68_68_68_68_142_68_9_170_170_170_170_170_170_170_8_9_9_116_68_142_116_116_68_116_60_60_236_238_236_238_236_236_236_97_167_167_167_167_167_167_167_167_105_105_167_167_167_167_66_119_119_121_120_140_120_120_120_120_120_120_120_101_31_31_31_120_120_120_31_121_140_184_31_119_119_119_119_31_119_119_31_31_31_31_31_33_33_119_33_140_120_101_120_120_120_101_139_140_120_101_102_101_140_140_140_101_120_101_120_101_101_101_101_139_102_102_102_102_140_32_32_167_167_166_167_96_1288_118_117_118_117_123_96_119_119_66_58_168_168_168_56_105_56_56_57_105_168_119_119_119_33_32_31_31_139_140_120_101_140_120_101_33_119_96_98_58_167_56_206_56_105_169_167_167_117_118_169_169_168_167_167_168_168_1287_238_105_56_236_237_236_237_236_236_236_168_168_73_113_14_14_14_14_14_71_14_14_14_14_14_14_146_15_71_71_110_71_71_110_77_146_15_15_15_76_146_146_14_15_15_146_71_110_70_15_146_146_15_15_110_71_71_71_71_111_77_110_77_15_147_146_76_110_110_111_71_71_14_14_14_14_14_14_14_14_14_14_14_14_14_144_144_14_14_71_71_110_69_69_80_15_75_75_75_75_71_71_71_76_15_70_70_71_71_71_71_110_71_110_110_145_110_15_75_75_146_75_15_75_15_72_14_14_11_70_80_95_79_79_144_10,1
411,699,9
412,698_485,2
413,698,2
414,697_696,1
415,697_695_696,1
416,697,1
417,696_696_695,1
418,696_695,1
419,696,1
420,692_691,2
421,692,4
422,691,3
423,690_690_445,1
424,690_445,2
425,690_444_690_445,1
426,690,2
427,69,2
428,689_688_688_688_688_689,1
429,689_688,1
430,689,2
431,688_689,2
432,688_688_689_445_445_444,1
433,688,1
434,687,2
435,685,1
436,684_602,1
437,683,4
438,682,2
439,681_708,2
440,681,1
441,68,3
442,678,1
443,677,3
444,676_675,1
445,676,2
446,675_676,1
447,675_675_676_675,1
448,675_675,1
449,675,3
450,674,2
451,673_672,2
452,673,4
453,672,3
454,671,1
455,670,7
456,669_668,2
457,669_1300_668,1
458,669,6
459,668_669,3
460,668_1300,2
461,668,5
462,667,5
463,666_666_667,1
464,665,1
465,664_479_480,1
466,664,1
467,662,1
468,661,3
469,660_659,1
470,660,3
471,659_660,1
472,659,6
473,658,2
474,657,3
475,656_656_656_472_473_473_656_658_657,1
476,656_656,1
477,655_361,1
478,653,1
479,652_652_652_652,1
480,652_651,1
481,652,3
482,647,4
483,642_641_642_704_640_704_640_704_640_705_704_495_495_495_495_727_727_641_640_728_303_303_302_728_728_728_303_303_302_303_303_302_728_728_728_1257_495_495_495_704_641_641_495_495_641_495_640_495_495_641_704_704_641_495_494_494_727_727_640_303_303_303_302_303_303_302_1257_728_728_640_641_642_642_642_642_642_705_704_704_641_642_642_642_642_642_642_642_642_641_611,1
484,641_642_642,1
485,641_611,2
486,640_727,1
487,640,1
488,639_1033_1014,1
489,639,3
490,638,2
491,636_635_635_581,1
492,636,2
493,635_636_635,1
494,635_636,1
495,635_635_636,1
496,635,1
497,633,1
498,632_632_360_360_360_655_632_603,1
499,632_603,1
500,632_360,1
501,631_630,2
502,631,1
503,630_629,1
504,629_628_627,1
505,629,3
506,628_629_628_628_627,1
507,628_628_627,1
508,628_627,3
509,626_626_625,1
510,626_625,3
511,626,6
512,625_738_665,1
513,625,3
514,624,3
515,623,4
516,622_621,1
517,622,4
518,619,2
519,617,2
520,616_615,1
521,616,3
522,609,1
523,607,1
524,606_742,1
525,605,2
526,603,2
527,602_601_684,1
528,602,2
529,601_602_602_601_602_602_684,1
530,601,2
531,60,2
532,599_598,1
533,597_514,1
534,596_589_515,1
535,596,2
536,595_588,1
537,595,3
538,593_346,2
539,593,1
540,592,2
541,589_589_589_514,1
542,589_515,1
543,589_514_515,1
544,588_595,1
545,588,2
546,583,1
547,582_583,1
548,576_480,1
549,576_479_480_479_479_1302,1
550,576,1
551,572,5
552,571_569_691_691_569_571_569_691_569_569_571_691_569_571_569_691_692_691_569_571_691_569_571_571_569_571_569_571_569_571_569_569_571_569_571_571_691_569_569_571_569_571_571,1
553,564,2
554,563_562,1
555,563_492,1
556,563,3
557,562_561,1
558,562,3
559,561,1
560,556_555,1
561,556,2
562,555,1
563,554,2
564,551_673_673_672_673_671_472_671_671_551_1312_1289_361_361_670_365_638_638_546_545_554_555_546_1291_1291_1290_1290_740_740_555_555_544_721_753_1308_676_676_675_675_674_718_717_752_674_364_364_552_553_365_721_1290_554_484_739_484_483_483_555_545_547_547_740_546_555_555_740_741_740_720_721_721_638_552_717_717_752_752_671_1312_1312_1289_1289_551_670_752_472_671_656_656_656_656_472_753_718_674_365_753_754_719_719_718_753_754_753_752_552_676_675_675_674_365_364_364_362_1312_1312_548_548_1312_470_1353_1354_470_470_472_472_470_472_1353_1354_1353_1354_1352_1354_1352_1352_1354_1353_470_470_471_470_1354_1353_1352_470_470_472_672_671_670_550_362_363_548_1289_548_1289_548_1312_1289_1312_1289_1289_363_670_553_1289_638_638_542_721_555_484_484_483_483_555_546_365_754_753_753_752_719_719_717_718_718_717_638_638_555_546_555_555_546_555_555_546_555_554_555_721_638_674_717_719_719_554_1291_1291_740_740_721_554_1290_1290_472_656_656_472_472_472_656_656_753_672_672_671_472_472_547_547_740_546_1290_364_361_550_364_719_719_719_1290_753_472_473_656_656_656_657_656_472_753_472_473_656_656_472_472_472_472_472_472_473_656_474_656_753_718_718_553_718_740_556_556_721_721_555_1291_554_1291_542_638_544_741_740_740_555_483_547_546_721_721_1290_1291_1290_547_547_546_740_556_546_721_1290_1291_1291_547_547_741_740_740_547_547_544_553_553_717_753_752_752_673_671_673_672_673_672_472_473_473_474_753_472_472_752_671_1312_1289_1312_1289_1312_1312_1289_1312_1289_1289_1289_1312_1289_545_544_674_674_752_753_753_670_670_361_361_1289_1312_1312_1289_363_361,1
565,547,4
566,546,1
567,541_540,1
568,541,3
569,54,2
570,538,1
571,531,1
572,530,1
573,52_52_52_52_52_52_52_52_52_52_52_52_52_52_52_52_52_52_52_52_52_53_52_52_53_61_62_1394_62_62_63_1394_1394_1394,1
574,525,2
575,524,2
576,523,2
577,521_521_521_732,1
578,521_520,1
579,521_519_519_520,1
580,521_464_678_678_677_503_503_503_504_503_504_466_466_678_461_490_461_461_677_461_509_509_509_461_461_678_678_677_677_461_462_461_462_464_464_463_464_677_461_509_462_461_461_677_677_461_461_290_489_489_489_489_489_464_290_461_464_464_463_489_509_491_491_677_677_461_461_461_491_509_464_464_461_509_725_725_509_461_510_464_464_461_461_677_677_678_1370_503_503_504_503_713_503_504_503_504_504_713_678_465_465_678_677_504_503_503_504_1370_504_465_678_678_465_465_713_713_713_713_1370_503_503_504_503_465_505_713_713_1370_713_713_466_678_465_678_678_504_466_466_466_466_503_504_713_466_466_466_678_677_461_461_461_461_461_490_464_464_489_290_289_287_287_289_521_732_287_287_289_287_521_287_287_287_521_289_287_287_287_520_518_518_589_355_355_355_356_356_562_562_562_355_356_356_596_562_663_614_355_663_562_562_354_356_356_355_562_562_614_562_562_562_614_357_492_355_355_357_356_357_356_663_357_492_357_356_354_356_595_589_589_755_586_624_624_624_623_623_573_573_623_623_624_573_587_624_624_586_586_586_624_587_587_755_565_565_572_711_572_712_712_711_711_712_712_711_711_565_580_1318_580_580_1320_710_709_708_629_630_631_630_1255_1255_1255_1255_1255_1255_1255_1255_1254_1255_1254_1255_1255_1254_1255_1255_1255_1255_680_706_1254_1255_1255_1254_1255_1254_681_680_630_683_683_590_497_619_619_619_620_619_735_735_617_735_617_619_617_619_735_735_617_617_619_736_735_735_617_617_735_735_618_617_617_617_736_617_617_619_619_735_736_736_617_617_618_619_744_744_591_683_590_577_1320_1318_1319_580_1318_634_581_634_565_565_568_568_565_1320_565_568_1320_565_1320_1320_635_634_635_635_635_636_1320_1318_565_1320_1320_565_565_568_565_712_1320_565_711_624_624_624_623_711_585_585_586_623_624_624_587_514_514_589_514_514_589_588_588_589_514_515_589_514_514_516_514_514_589_588_572_573_585_712_568_635_634_681_708_523_497_500_1319_1319_565_1319_590_592_1315_577_693_697_697_697_696_697_695_694_697_697_693_695_695_695_694_635_635_635_635_634_620_500_709_522_709_523_523_522_523_619_500_500_500_497_497_500_620_723_723_723_724_724_621_621_523_523_709_709_497_500_500_500_683_694_697_697_694_697_696_695_683_590_683_683_579_590_592_694_694_694_694_694_697_697_697_696_695_636_635_635_634_634_1319_1318_1319_580_581_581_592_683_590_592_709_497_500_744_745_619_744_500_497_710_523_523_681_497_500_744_500_744_744_592_635_635_634_634_581_581_683_683_694_695_1315_592_592_708_681_681_522_709_497_497_707_706_706_707_621_621_622_630_630_707_680_707_707_706_707_710_723_724_621_707_707_630_680_681_706_710_710_724_622_621_621_724_621_500_744_500_522_706_707_706_1254_1255_1255_1255_1255_1255_681_681_706_706_630_630_706_630_681_681_630_707_707_706_630_680_680_708_681_500_592_581_1318_1319_1320_565_568_568_712_712_711_711_712_1320_565_565_586_573_585_712_712_711_585_565_711_712_573_573_573_573_573_586_586_587_587_573_573_587_351_351_351_350_351_557_450_564_557_564_564_557_560_560_450_558_743_559_664_743_451_450_351_350_564_557_448_350_351_350_557_350_449_449_559_479_1302_450_450_560_560_576_1302_664_558_557_350_448_351_350_350_557_557_447_351_350_564_564_557_451_574_574_574_574_450_451_450_574_574_574_450_350_351_1301_576_479_664_1301_1301_557_451_451_743_743_743_743_353_558_743_351_350_451_451_558_350_350_564_564_557_350_557_350_343_343_343_343_343_343_342_343_343_343_343_343_343_346_444_647_647_647_737_348_349_349_746_348_746_584_648_648_746_349_349_593_582_582_593_593_582_593_347_444_593_346_593_582_582_583_446_594_446_690_445_689_688_689_688_347_444_444_445_594_1317_447_446_1317_1317_594_594_594_1317_447_445_444_445_444_594_1317_1317_1317_446_593_647_347_593_593_582_445_446_446_690_445_690_445_444_647_647_347_746_447_447_350_737_737_625_665_738_665_738_349_349_737_737_348_348_746_746_349_652_652_651_651_746_647_648_347_584_347_647_647_582_582_583_583_648_444_347_647_347_347_648_349_746_651_746_746_649_652_652_652_651_746_349_746_652_652_652_652_651_652_652_651_349_349_651_649_648_648_584_648_593_346_347_647_347_648_652_651_651_348_648_651_746_746_447_349_648_647_346_593_582_582_593_582_582_582_444_593_582_582_1317_447_1316_447_446_1317_447_558_351_449_558_1301_664_557_353_1301_479_664_1302_1302_576_576_664_559_451_564_576_576_1301_664_557_447_448_449_558_743_743_1302_480_576_576_447_350_557_449_449_450_353_451_353_588_588_595_595_596_589_596_589_516_514_514_515_514_516_517_517_516_517_517_518_518_518_520_518_518_520_518_520_518_520_519_520_518_520_518_518_518_520_520_518_520_520_520_520_520_518_519_520_521_289_287_289_521_521_289_287_287_287_289_287_289_287_289_287_732_521_521_289_287_287_289_287_289_287_289_287_289_732_287_289_289_287_521_289_287_287_289_288_521_287,1
581,521,1
582,519_518,1
583,519,1
584,518,1
585,517_517_516,1
586,517_516,1
587,517,2
588,516_517,2
589,516_516_516_516_516_516_516_516_518_516,1
590,516,1
591,514,1
592,511,2
593,509_509_509_509_509_509_509_509_509_509_509_509_509_509_509,1
594,509_508,1
595,508,1
596,507,1
597,502_501,1
598,502,2
599,501_502,1
600,500,1
601,50,1
602,495_639,1
603,495_494,5
604,495,2
605,494,6
606,492_563,2
607,492_355_356,1
608,492,4
609,491_1390,1
610,491,3
611,488,5
612,485_485_485_485_485_698,1
613,485_484,1
614,485,2
615,484,1
616,483,2
617,481_481_481_481_481_481_481_482,1
618,480_479,1
619,480,2
620,479_479_479_479,1
621,479,2
622,478,3
623,476_1172_1172_1242_475_475_1242_475_1163_1242_1242_1279_1139_1168_1139_1138_1167_1138_1168_1139_1139_1169_1158_1169_1164_1158_1169_1171_1165_1279_1279_1279_1280_1163_1242_1163_1163_1163_1163_1163_1163_475_1173_1172_1172_475_1172_477_475_1172_1172_1172_1172_1242_1242_1242_1163_1168_1160_1283_1243_1160_1166_1243_1171_1187_1243_1160_1160_1283_1259_1279_1160_1283_1259_1259_1259_1159_1259_1169_1139_1171_1168_1168_1139_1138_1279_1158_1185_1169_1171_1187_1187_1158_1279_1164_1169_1168_1168_1138_1168_1167_1169_1171_1187_1139_1139_1139_1242_1163_1242_1163_1163_1163_1163_1138_1168_1187_1166_1279_1164_1280_1166_1158_1243_1259_1159_1159_1161_1260_1213_1162_1161_1161_1243_1158_1158_1168_1138_1168_1139_1163_1163_1280_1166_1171_1187_1159_1243_1159_1169_1171_1169_1159_1166_1243_1243_1159_1187_1171_1139_1139_1168_1139_1168_1139_1171_1171_1168_1168_1168_1279_1163_1172_1172_475_1172_1173_1172_1173_1172,1
624,472_671,1
625,472_470_471,1
626,471,1
627,470_471,1
628,470_470_470_472_471,1
629,470_1352_1352_470_470_470_470_470_470_471,1
630,469_469_467_469_604_653_653_469_469_467_467_467_467_469_467_468_468_469_468_468_468_467_469,1
631,469,1
632,468_468,1
633,466,1
634,464,1
635,461,1
636,457_458,1
637,455,6
638,452,5
639,451_451_451,1
640,451_353,1
641,451,2
642,45,2
643,44_45,1
644,44_44_45_46,1
645,446,1
646,444,2
647,443_85_127_376,1
648,443_443_376_415_129_27_131_131_416_87_129_129_129_87_415_416_415_415_416_437_414_441_441_437_437_442_442_441_441_437_129_129_441_414_441_441_129_442_442_437_441_413_413_437_437_441_441_129_87_85_86_86_277_131_131_379_87_129_129_129_129_129_129_129_129_129_129_129_129_277_131_131_415_415_86_131_87_379_376_127_127_128_127_376_127_443_376_25_127_127_85_25_443_376_443_376_376_84_376_441_437_86_415_415_415_415_415_415_415_415_415_415_129_87,1
649,443_376,3
650,443,3
651,442,7
652,441_442,1
653,441,1
654,440_440_440_440_440_440_422_440_440_440_440_439,1
655,440_439,1
656,440_422_422_280_422_422_440_439,1
657,440,4
658,439,1
659,438_391,1
660,438,2
661,437,2
662,434,3
663,430,1
664,429_428,1
665,429,3
666,428,1
667,423,1
668,422_282_281,1
669,422_281,1
670,422_280,1
671,422,2
672,421_421_420,1
673,421_390,1
674,421,2
675,420_419,1
676,420,2
677,42,1
678,41_41_41_41_42_42_41_40,1
679,419_419_421_418_419_420,1
680,419_419_419_419,1
681,419_419_419_418,1
682,419_418,3
683,418,1
684,417,4
685,415_415_415,1
686,412,3
